TEMP,SALT,d5,d10,d30,d50,d100,d150,d200,d300,d500,d700,d900,d1000,d1200
23.708,35.011,23.695,23.683,23.632,23.549,23.317,21.688,19.588,15.902,11.176,8.506,6.109,5.342,4.442
24.232,35.034,24.205,24.174,24.024,23.856,23.352,21.825,19.72,16.029,11.222,8.503,6.086,5.306,4.405
25.432,35.046,25.396,25.357,25.05,24.561,23.44,21.841,19.923,16.173,11.248,8.487,6.047,5.269,4.413
27.725,35.059,27.684,27.644,27.342,26.162,23.392,21.659,19.778,16.123,11.254,8.506,6.076,5.287,4.389
28.065,34.993,28.018,27.972,27.7,23.499,23.249,21.41,19.607,15.941,11.124,8.449,6.023,5.266,4.36
28.09,34.93,28.052,28.023,27.781,26.528,23.065,21.077,19.283,15.675,10.98,8.326,5.997,5.244,4.365
27.51,34.941,27.505,27.497,27.439,26.781,23.041,20.807,18.955,15.469,11.05,8.367,5.994,5.233,4.374
26.626,34.922,26.621,26.615,26.587,26.862,23.223,20.86,18.995,15.386,10.994,8.377,6.01,5.233,4.361
25.351,34.962,25.352,25.353,25.361,26.434,23.423,20.787,18.912,15.405,10.961,8.354,6.007,5.257,4.375
24.382,34.962,24.382,24.381,24.362,25.398,23.608,20.961,19.019,15.446,11.009,8.347,6.014,5.258,4.393
23.757,34.987,23.755,23.753,23.728,24.376,23.457,21.441,19.375,15.733,11.133,8.471,6.099,5.314,4.414
23.656,35.007,23.644,23.632,23.581,23.708,23.285,21.656,19.58,15.892,11.156,8.502,6.096,5.34,4.453
24.172,35.03,24.148,24.12,23.979,23.818,23.329,21.791,19.7,16.035,11.211,8.502,6.08,5.3,4.423
25.359,35.037,25.325,25.289,24.991,24.514,23.402,21.817,19.932,16.201,11.249,8.493,6.038,5.264,4.426
27.649,35.053,27.611,27.573,27.294,26.109,23.302,21.597,19.749,16.119,11.239,8.492,6.061,5.29,4.409
28.001,34.989,27.954,27.91,27.639,26.857,23.141,21.303,19.546,15.932,11.11,8.441,6.008,5.267,4.376
28.047,34.928,28.01,27.982,27.747,25.384,22.982,21.011,19.237,15.659,10.96,8.314,5.984,5.245,4.379
